Start time,End time,ID,Val
25/02/2008 00:20,25/02/2008 00:22,24,1
25/02/2008 09:33,25/02/2008 09:33,24,1
25/02/2008 09:33,25/02/2008 17:21,24,1
25/02/2008 09:36,25/02/2008 09:37,5,1
25/02/2008 09:37,25/02/2008 09:37,6,1
25/02/2008 09:37,25/02/2008 09:37,14,1
25/02/2008 09:37,25/02/2008 09:37,14,1
25/02/2008 09:37,25/02/2008 09:38,6,1
25/02/2008 09:49,25/02/2008 09:49,9,1
25/02/2008 09:49,25/02/2008 09:49,9,1
25/02/2008 09:49,25/02/2008 09:49,8,1
25/02/2008 09:49,25/02/2008 09:49,8,1
25/02/2008 09:49,25/02/2008 09:50,1,1
25/02/2008 09:50,25/02/2008 09:50,23,1
25/02/2008 09:52,25/02/2008 09:53,1,1
25/02/2008 09:53,25/02/2008 09:53,23,1
25/02/2008 09:57,25/02/2008 10:01,13,1
25/02/2008 09:57,25/02/2008 09:58,9,1
25/02/2008 09:58,25/02/2008 09:58,18,1
25/02/2008 09:59,25/02/2008 09:59,7,1
25/02/2008 10:00,25/02/2008 10:00,9,1
25/02/2008 10:02,25/02/2008 10:02,5,1
25/02/2008 10:10,25/02/2008 10:10,5,1
25/02/2008 10:10,25/02/2008 17:00,5,1
25/02/2008 10:19,25/02/2008 10:19,12,1
25/02/2008 16:54,25/02/2008 16:54,12,1
25/02/2008 16:59,25/02/2008 16:59,8,1
25/02/2008 16:59,25/02/2008 16:59,23,1
25/02/2008 16:59,25/02/2008 16:59,8,1
25/02/2008 17:00,25/02/2008 17:00,6,1
25/02/2008 17:01,25/02/2008 17:01,14,1
25/02/2008 17:01,25/02/2008 17:01,6,1
25/02/2008 17:17,25/02/2008 17:17,18,1
25/02/2008 17:17,25/02/2008 17:17,18,1
25/02/2008 17:17,25/02/2008 17:17,18,1
25/02/2008 17:19,25/02/2008 17:19,12,1
25/02/2008 17:22,25/02/2008 17:22,18,1
25/02/2008 17:55,25/02/2008 17:55,8,1
25/02/2008 17:55,25/02/2008 17:55,8,1
25/02/2008 17:55,25/02/2008 17:55,7,1
25/02/2008 17:55,25/02/2008 17:55,7,1
25/02/2008 17:55,25/02/2008 17:55,7,1
25/02/2008 17:55,25/02/2008 17:55,8,1
25/02/2008 17:55,25/02/2008 17:55,8,1
25/02/2008 18:31,25/02/2008 18:32,6,1
25/02/2008 18:32,25/02/2008 18:32,6,1
25/02/2008 18:33,25/02/2008 18:33,14,1
25/02/2008 18:33,25/02/2008 18:33,6,1
25/02/2008 19:21,25/02/2008 19:21,24,1
25/02/2008 19:21,25/02/2008 19:21,24,1
25/02/2008 19:36,25/02/2008 19:36,7,1
25/02/2008 19:40,25/02/2008 19:40,23,1
25/02/2008 19:40,25/02/2008 19:40,8,1
25/02/2008 19:41,25/02/2008 19:41,8,1
25/02/2008 19:41,25/02/2008 19:41,8,1
25/02/2008 19:41,25/02/2008 19:41,8,1
25/02/2008 19:41,25/02/2008 19:41,8,1
25/02/2008 19:41,25/02/2008 19:43,23,1
25/02/2008 19:47,25/02/2008 19:47,8,1
25/02/2008 19:54,25/02/2008 19:54,9,1
25/02/2008 19:56,25/02/2008 19:56,18,1
25/02/2008 19:56,25/02/2008 23:11,18,1
25/02/2008 19:56,25/02/2008 19:56,7,1
25/02/2008 19:56,25/02/2008 19:56,7,1
25/02/2008 19:57,25/02/2008 19:57,17,1
25/02/2008 20:00,25/02/2008 20:00,8,1
25/02/2008 20:00,25/02/2008 20:00,8,1
25/02/2008 20:01,25/02/2008 20:01,8,1
25/02/2008 20:01,25/02/2008 20:01,9,1
25/02/2008 20:04,25/02/2008 20:04,1,1
25/02/2008 20:04,25/02/2008 20:10,1,1
25/02/2008 20:10,25/02/2008 20:10,8,1
25/02/2008 20:18,25/02/2008 20:18,8,1
25/02/2008 20:19,25/02/2008 20:19,9,1
25/02/2008 20:20,25/02/2008 20:20,8,1
25/02/2008 20:23,25/02/2008 20:23,8,1
25/02/2008 20:23,25/02/2008 20:23,8,1
25/02/2008 21:08,25/02/2008 21:08,5,1
25/02/2008 21:08,25/02/2008 21:08,5,1
25/02/2008 21:45,25/02/2008 21:45,8,1
25/02/2008 21:51,25/02/2008 21:51,6,1
25/02/2008 21:51,25/02/2008 21:51,6,1
25/02/2008 21:52,25/02/2008 21:52,14,1
25/02/2008 21:52,25/02/2008 21:52,6,1
25/02/2008 21:54,25/02/2008 21:55,12,1
25/02/2008 21:55,25/02/2008 21:55,9,1
25/02/2008 21:56,25/02/2008 21:56,1,1
25/02/2008 21:59,25/02/2008 21:59,1,1
25/02/2008 23:05,25/02/2008 23:05,13,1
25/02/2008 23:06,25/02/2008 23:19,13,1
25/02/2008 23:11,25/02/2008 23:11,18,1
25/02/2008 23:19,25/02/2008 23:19,13,1
25/02/2008 23:21,25/02/2008 23:30,24,1
25/02/2008 23:22,25/02/2008 23:24,5,1
25/02/2008 23:28,25/02/2008 23:28,6,1
25/02/2008 23:28,25/02/2008 23:29,6,1
